             Object File DRAM .data .rtc.data DRAM .bss .ext_ram.bss IRAM0 .text & 0.vectors ram_st_total Flash .text & .rodata & .rodata_noload & .appdesc flash_total
               esf_buf.o        328         0         0          192         573           0         1093        1182       354                0          0        2437
             rtc_clk.c.o        160         0         4            0        2195           0         2359           0         0                0          0        2355
          panic_arch.c.o          0         0         0            0           0           0            0         712      1594                0          0        2306
                 raw.c.o          0         0         0            4           0           0            4        2038       218                0          0        2256
  spi_flash_hal_iram.c.o          0         0         0            0        2241           0         2241           0         0                0          0        2241
                 ip4.c.o          0         0         0            6           0           0            6        1859       127                0          0        1986
         wpa_auth_ie.c.o          0         0         0            0           0           0            0        1977         0                0          0        1977
                igmp.c.o          0         0         0            9           0           0            9        1725       251                0          0        1976
             if_hwctrl.o          0         0         0           41          40           0           81        1761        38              100          0        1939
           partition.c.o          0         0         8            0           0           0            8        1513       414                0          0        1927
                mld6.c.o          0         0         0            1           0           0            1        1918         0                0          0        1918
              wpa_ie.c.o          0         0         0            0           0           0            0        1720       169                0          0        1889
            task_wdt.c.o         53         0        12            0           0           0           65        1193       591                0          0        1837
          flash_mmap.c.o          0         0       264            0        1404           0         1668         121       292                0          0        1817
   esp_efuse_utility.c.o          0         0         4            0           0           0            4        1040       764                0          0        1804
         esp_adapter.c.o        468         0         5            0         412           0          885         924         0                0          0        1804
                wl_chm.o          4         0         0          252          30           0          286        1465        53              200          0        1752
   nvs_pagemanager.cpp.o          0         0         0            0           0           0            0        1409       302                0          0        1711
      xtensa_vectors.S.o          8         0         0            0        1236         425         1669           0        36                0          0        1705
      heap_caps_init.c.o          8         0         4            0           0           0           12        1271       423                0          0        1702
           cpu_start.c.o          1         0         5            0         792           0          798         391       479                0          0        1663
                port.c.o          0         0        24            0        1123           0         1147         155       383                0          0        1661
             api_lib.c.o          0         0         0            0           0           0            0        1442       219                0          0        1661
           nvs_api.cpp.o          0         0        20            0           0           0           20        1652         4                0          0        1656
              spiram.c.o          0         0         1            0         383           0          384         698       569                0          0        1650
            sys_arch.c.o          0         0         0            8           0           0            8        1075       574                0          0        1649
           heap_caps.c.o          4         0         4            0        1020           0         1028         261       359                0          0        1644
        wifi_default.c.o          0         0         9            0           0           0            9        1210       401                0          0        1611
        wdt_hal_iram.c.o          0         0         0            0        1606           0         1606           0         0                0          0        1606
           esp_timer.c.o          8         0         8            0         742           0          758         706        73                0          0        1529
             startup.c.o          8         0        11            0          69           0           88         803       629                0          0        1509
             ieee80211.o          0         0         0          636           0           0          636        1311       191                0          0        1502
         cache_utils.c.o          4         0        14            0         868           0          886          81       510                0          0        1463
          esp_bignum.c.o          0         0         0            0           0           0            0        1425         0                0          0        1425
  esp_timer_impl_lac.c.o         24         0         8            0         602           0          634         375       421                0          0        1422
            rtc_init.c.o          0         0         0            0          77           0           77        1338         0                0          0        1415
             ringbuf.c.o          0         0         0            0         901           0          901           0       512                0          0        1413
         pmksa_cache.c.o          0         0         0            0           0           0            0        1388        20                0          0        1408
 ieee80211_crypto_ccmp.o         24         0         0            0           0           0           24        1072       307                0          0        1403
           wifi_init.c.o         12         0         5            0           0           0           17         614       766                0          0        1392
      ieee80211_crypto.o          0         0         0          108           0           0          108        1059       269                0          0        1328
            mac_addr.c.o          0         0         6            0           0           0            6         724       572                0          0        1296
       memory_layout.c.o          0         0         0            0           0           0            0           0      1279                0          0        1279
        event_groups.c.o          0         0         0            0         758           0          758           0       439                0          0        1197
            ctr_drbg.c.o          0         0         0            0           0           0            0        1182         0                0          0        1182
         ieee80211_phy.o          0         0         0            0           0           0            0         663       499                0          0        1162
       ieee80211_power.o          0         0         0            0           0           0            0        1116        35                0          0        1151
            hal_mac_tx.o          0         0         0            0          32           0           32        1051        56                0          0        1139
               locks.c.o          8         0       168            0         649           0          825         132       340                0          0        1129
   crypto_mbedtls-ec.c.o          0         0         0            0           0           0            0        1077         0                0          0        1077
     xtensa_intr_asm.S.o       1024         0         0            0          51           0         1075           0         0                0          0        1075
                 log.c.o          8         0       264            0          44           0          316         875       143                0          0        1070
              common.c.o          0         0         0            0           0           0            0        1059         0                0          0        1059
            rtc_time.c.o          0         0         0            0         853           0          853           0       186                0          0        1039
         port_common.c.o          0         0         8            0         394           0          402         228       412                0          0        1034
                icmp.c.o          0         0         0            0           0           0            0         745       226                0          0         971
               panic.c.o         12         0         5            0          40           0           57         763       147                0          0         962
               tcpip.c.o          0         0         0           16           0           0           16         702       255                0          0         957
             aes-ccm.c.o          0         0         0            0           0           0            0         940         0                0          0         940
             md_wrap.c.o          0         0         0            0           0           0            0         596       332                0          0         928
                 clk.c.o          0         0         0            0           0           0            0         716       208                0          0         924
           lib_a-qsort.o          0         0         0            0           0           0            0         916         0                0          0         916
                  md.c.o          0         0         0            0           0           0            0         886        28                0          0         914
            hal_crypto.o          0         0         0            0           0           0            0         895        18                0          0         913
          lib_a-fseeko.o          0         0         0            0           0           0            0         906         0                0          0         906
